Chemical List
ID,Name,CAS No,Description
"10","1,2-Dibromoethane (Ethylene dibromide)","106-93-4","Ethylene dibromide is probably carcinogenic to humans. It has been linked to an increased risk of a variety of cancers in many different organs. Individuals may experience this increased risk of cancer as a result of chronically being exposed to ethylene dibromide by any or all exposure routes. The exposure route of concern to TPH is breathing, as acceptable benchmarks for ethylene dibromide were exceeded in the air.<br><br>Possible sources: Ethylene dibromide is used as an intermediate for dyes, resins, waxes, and gums. "
"12","1,2-Dichloroethane (Ethylene dichloride)","107-06-2","1,2-Dichloroethane is possibly carcinogenic to humans. Individuals may experience this increased risk of cancer as a result of chronically breathing contaminated air containing 1,2- dichloroethane.<br><br>Possible sources: 1,2-Dichloroethane is primarily used in the production of vinyl chloride and other chemicals. It is also used as a solvent in closed systems for various extraction and cleaning purposes. "
"4","1,3-Butadiene","106-99-0","1,3-Butadiene is probably carcinogenic to humans. It has been linked to cancers of the blood and lymph systems, including leukemia. It has also been linked to disorders of the heart, blood and lungs, and to reproductive and developmental effects. Risk to human health occurs predominately when 1, 3-Butadiene is inhaled.<br><br>Possible sources: 1,3-Butadiene is used in the production of synthetic plastics and rubber. It is also a byproduct of manufacturing, processing, wastewater and combustion. "
"11","1,4-Dichlorobenzene","106-46-7","1,4-Dichlorobenzene is possibly carcinogenic to humans. It has been linked to an increased risk of tumours of both the liver and kidneys. Individuals may experience this increased risk of cancer as a result of chronically breathing contaminated air containing 1,4-dichlorobenzene.<br><br>Possible sources: 1,4-Dichlorobenzene is used as an intermediate in chemical production, as a fumigant and a space deodorant. "
"1","Acetaldehyde","75-07-0","Acetaldehyde is possibly carcinogenic to humans. Risk to human health occurs when acetaldehyde in the air is inhaled. The entire human respiratory tract, including the lungs, is at risk for cancer induction by chronic exposure to low levels of inhaled acetaldehyde.<br><br>Possible sources: Acetaldehyde is used as an intermediate in the synthesis of other chemicals. It is a byproduct of incomplete wood combustion, pulp and paper production, stationary internal combustion engines and turbines and wastewater processing. It is also used in the production of perfumes, polyester resins and dyes. Acetaldehyde is used as a fruit and fish preservative, a flavouring agent, a denaturant for alcohol, in fuel compositions, for hardening gelatine, and as a solvent in the rubber and tanning industries. "
"2","Acrolein","107-02-8","Acrolein is primarily an irritant of the respiratory tract. Chronic exposure can lead to congestion of the respiratory system in addition to irritation of the eyes, nose and throat. Similar symptoms are displayed with short term exposure including tearing of the eyes, and irritation of the mucus membranes of the respiratory tract.<br><br>Possible sources: Acrolein is used as an intermediate in the manufacture of acrylic acid. It is used commercially and industrially in the formulation of herbicides, biocides, slimicides, and algicides; leather tanning, pharmaceutical production, and photography. Other sources include fossil fuel combustion, motor vehicle exhaust, tobacco smoke, burning of animal and vegetable fats, heating of lubrication oils, burning of wood and plastics, and aquatic and terrestrial pesticide use. "
"3","Benzene","71-43-2","There is sufficient evidence to indicate that benzene is carcinogenic to humans. Chronic exposure to benzene leads primarily to disorders of the blood. Benzene is a cancer initiator that has been clearly linked to acute myeloid leukemia (i.e. a cancer of the blood system). Benzene can enter the body by inhalation, ingestion and absorption through the skin.<br><br>Possible sources: Benzene is a constituent in motor fuels. It is used as a solvent for fats, waxes, resins, oils, inks, paints, plastics, and rubber; in the extraction of oils from seeds and nuts; and in photogravure printing. It is also used as a chemical intermediate, in the manufacture of detergents, explosives, pharmaceuticals, and dyestuffs. "
"5","Cadmium and its compounds","","Cadmium and cadmium compounds are carcinogenic to humans. Cadmium is most clearly linked to lung cancer by inhalation. Kidney disease and damage have also been associated with exposure by ingestion as well as inhalation. Cadmium was identified as one of the top priority toxic substances using the TEP ranking approach.<br><br>Possible sources: Cadmium is released into air from zinc, lead, or copper smelting. It is also used to manufacture pigments and batteries and in the metal plating and plastics industries. It is also released as a result of burning fossil fuels and in the incineration of municipal waste materials. "
"6","Carbon tetrachloride","56-23-5","Carbon tetrachloride is possibly carcinogenic to humans. Individuals chronically exposed to carbon tetrachloride may be at an increased risk of cancer of the liver. The primary route of exposure is inhalation, as a result of breathing air contaminated with carbon tetrachloride.<br><br>Possible sources: Carbon tetrachloride is used primarily as an intermediate in the manufacture of refrigerant. It is also used to a lesser extent as an industrial solvent and metal degreasing agent. "
"7","Chloroform (Trichloromethane)","67-66-3","Chloroform is possibly carcinogenic to humans. Individuals chronically exposed to chloroform may be at an increased risk of both kidney and liver tumours. The risk of cancer is associated with exposure as a result of ingestion and inhalation of chloroform.<br><br>Possible sources: Most chloroform is used to manufacture HCFC-22 (a refrigerant for air conditioners). It may also be released into the air from a large number of sources related to its manufacture and use, as well as from its formation as a by product of chlorinating drinking water, wastewater and swimming pool water for disinfection purposes. "
