Facilities List
ID,Name,Address,Unit No,Postal Code,Primary Contact Last Name,Primary Contact First Name,Phone,Phone Ext,Industry,Employees at Facility
"23398","1 Four 0 Nine Inc","1407 Bloor St W","","M6P 3L4","Le","Hoang","416-534-5677","","General Automotive Repair","1"
"24951","1333215 Ontario Ltd TA Joe Cool Krysia","57 Colville Rd","","M6M 2Y2","Skowronski","Mark","416-246-0001","","Jewellery & Watch Whl.","2"
"25206","1406253 Ontario Limited","31 Torbarrie Road","","M3L 1G5","Trentadue","Bart","416-989-1610","","Heavy-Duty Truck Mfg.","35"
"23270","1524024 Ontario Inc Oa Bay Recycling","31 Goodmark Place","2","M9W 6S1","Iqbal","Mohammed","416-679-0414","","All Other Waste Management Services","5"
"23224","1545317 Ontario Inc 0a Liaison College Downtown","205 Richmond St West","102","M5V 1V6","Elliott","Ana Paula","416-428-9266","","Technical & Trade Schools","5"
"23046","1625100 Ont Ltd Authentic Windows and Doors","20 Estate Drive","","M1H 2Z1","Borden","Robert","416-292-5400","","Wood Window & Door Mfg.","19"
"127","163 Auto Collision Inc","40 Melford Dr","6","M1B 2G2","Sit","Tim","416-321-3388","","Automotive Body, Paint & Interior R&M","1"
"22218","1755946 Ontario Limited OA Quan Auto Service","221 New Toronto St","","M8V 2G3","Nguyen","Quan","416-251-5237","","General Automotive Repair","1"
"23104","202020 Auto Collision","1173 Roselawn Ave","","M6B 1C6","Fabiano","Gregorio","416-317-1415","","Automotive Body, Paint & Interior R&M","2"
"22796","2246624 Ontario Inc","3200 Eglinton Ave E","","M1J 2H6","Lee","Rachel","416-886-6228","","Coin-Operated Laundries & Dry Cleaners","4"
"22593","2289974 Ontario Ltd","2360 Midland Ave","2","M1S 1P8","Ko","Kang Yiu","416-298-6336","","Clothing Accessories & Other Clothing Mfg.","5"
"23214","24 Gold Group","21 Dundas Square","618","M5B 1B7","Hanna","Kamel","416-214-2442","","Jewellery & Silverware Mfg.","3"
"23804","247 Integrated Inc","115 Thorncliffe Park Dr","A","M4H 1M1","Sanham","Heather","905-477-5046","","All Other Services Related to Advertising","9"
"24123","2749394 Canada Inc","210 Supertest Road","","M3J 2M2","Thiang","Kee","416-661-3660","4059","Office Furniture (except Wood) Mfg.","2"
"24306","3d Mould Mfg Ltd","1365 Morningside Ave","8","M1B 4Y5","Dunlop","Perry","416-412-7836","","Machine Shops","3"
"486","4 Solutions Display Corp","602 Magnetic Drive","","M3J 2C4","Grady","George","416-661-9434","443","All Other Plastic Product Mfg.","6"
"23324","409 Auto Collision","147 Belfield Road","","M9W 1G8","Singh","Abtar","416-242-7111","","Automotive Body, Paint & Interior R&M","6"
"23277","427 Auto Collision Ltd","395 Evans Avenue","","M8Z 1K8","Armata","Enzo","416-259-6344","240","Automotive Body, Paint & Interior R&M","65"
"23407","427 Queensway Collision Centre","41 Atomic Ave","","M8Z 5K8","Gadeen","Darryl","416-255-8511","","Automotive Body, Paint & Interior R&M","5"
"22117","443443 Ontario Ltd","1540 Midland Avenue","Rear","M1P 3C2","Humphries","Troy","416-757-0457","","General Automotive Repair","2"
"22064","472569 Ontario Limited Ontario Aluminum Glass","4 Jenet Ave","","M6H 1R4","Silva","Danielle","416-533-7921","227","Metal Window & Door Mfg.","18"
"24230","4u Cleanerscom","2324 Lake Shore Blvd w","3","M8V 1B6","Kim","Yeong Il","416-899-9987","","Dry Cleaning & Laundry Serv. (exc. Coin-Op.)","3"
"24122","5 Star Auto Repair","2581 Eglinton Ave East","","M1K 2R8","Avanes","Gagik","416-265-0335","","General Automotive Repair","1"
"22187","573436 Ont Ltd Oa Boyd Cleaners","727 Dovercourt Rd","","M6H 2W7","Schneider","Joe","416-536-1490","","Dry Cleaning & Laundry Serv. (exc. Coin-Op.)","3"
"24232","693316 Ontario Limited Horner Avenue","200 Horner Ave","","M8Z 4X8","Suppa","Domenic","416-798-7060","","Ready-Mix Concrete Mfg.","1"
"23198","7 Star Cleaners","3834A Bloor St W","","M9B 1L1","Lee","KwangSik","416-236-3442","","Dry Cleaning & Laundry Serv. (exc. Coin-Op.)","2"
"22392","7109563 Canada Inc OA Cookiegrams","81 Brisbane Road","7","M3J 2K3","Da Re","Louise","416-663-7770","","Retail Bakeries","2"
"25036","715 Milner Avenue","715 Milner Avenue","","M1B 2K4","Kerr","Duncan","416-542-7807","","Electric Power Distribution","0"
"23332","7291931 Canada Inc Oas NS Studios","1160 BELLAMY RD N","","M1H 1H2","Cliff","Ronald","416-438-3385","228","Commercial Screen Printing","19"
"23525","853310 Ontario Limited Oa Auto Service Plus","865 Richmond Street West","","M6J 1E2","Silva","Mario","416-588-3881","","General Automotive Repair","2"
"22984","A A Auto Body","260 Midwest Rd ","10","M1P 3B4","Chatterpaul","Lakram","416-751-4500","","Automotive Body, Paint & Interior R&M","4"
"22445","A B Plastics 1986 Co Ltd","269 RIMROCK ROAD","","M3J 3C6","Bernath","Celia","416-630-4666","","All Other Whl.","19"
"24742","A J Woven Label Inc","1361 Huntingwood Drive","5","M1S 3J1","Lam","Joanne","416-321-8182","","Narrow Fabric Mills & Schiffli Embroidery","5"
"23435","A N T Auto Body","35 Cosentino Dr","","M1P 3A3","Sinniah","Shangar","416-609-2503","","Automotive Body, Paint & Interior R&M","5"
"22747","A&I Automotive Inc","741  Runnymede Rd","a","M6N 3V7","Tcherkasski","Alexander","416-760-9994","","General Automotive Repair","1"
"22699","A1 Autotech","905 Don Mills Rd","","M3C 1W4","Feijoo","Andre","416-447-8900","","General Automotive Repair","4"
"405","A1 Label Inc","32 Cranfield Rd","","M4B 3H3","Wong","Ling","416-701-9800","243","Other Printing","87"
"25231","A1 PMR Automotive","39 Fima Crescent","","M8W 3R1","Campbell","Wilbert","416-915-1036","","General Automotive Repair","1"
"22882","A1GT Auto Repair Inc","2922 Islington Ave","1","M9L 2K4","Bhullar","Avneet","416-749-5700","","General Automotive Repair","3"
"23385","AA Auto Repair","57  Toro Road Rear Of 55","","M3J 2A4","Villani","Angelo","416-398-3334","","General Automotive Repair","1"
"24142","AA Floors More Ltd","524 Evans Ave","","M8W 2V4","Prisiajnyj","Ruslan","416-201-9611","","Hardware Stores","1"
"23860","AACE Precision","2 Select Avenue ","13","M1V 5J4","LIN","PATRICK","416-335-8735","","Machine Shops","2"
"25111","AAMCO TRANSMISSION","2941 Eglinton Ave E ","","M1J 2E5","CHOW","JACK","416-431-5352","","General Automotive Repair","6"
"23193","AAMED Technologies","186 Bartley Drive","4","M4A 1E1","Castillo","Pablo","416-285-4144","","Medical Equipment & Supplies Mfg.","4"
"222","ABC Climate Control Systems Inc","54 Bethridge Rd","","M9W 1N1","Sorrentino","Enzo","416-246-1782","","All Other Plastic Product Mfg.","200"
"185","ABC Group Exterior Systems","220 Brockport Drive","","M9W 5S1","Sorrentino","Enzo","416-246-1782","","Motor Vehicle Plastic Parts Mfg.","245"
"22827","ABM Auto Center","12 Elrose Ave","","M9M 2H6","Nguyen","Hanna","416-744-1173","","Automotive Body, Paint & Interior R&M","3"
"22440","AC Fire Alarm Safety Inc","99 Advance Road","2","M8Z 2S6","Yari","Ali","416-232-9653","","Building Inspection Services","2"
"22723","AD Fire Protection Systems Inc","420 Tapscott Road ","5","M1B 1Y4","Babin","Richard","416-292-2361","240","All Other Non-Metallic Mineral Product Mfg.","34"
"24027","ADA Precision Machine Tool Co Ltd","30 Vansco Road","","M8Z 5J4","Picken","Jon","416-252-6100","","Machine Shops","4"
"24165","ADDental Laboratories Limited","726 Bloor St West","304","M6G 1L4","Aviles","Gilda","416-532-8137","","Offices of All Other Health Practitioners","6"
"22203","ADL Process Inc","500 Keele St","205","M6N 3C9","D'Alfonso","Adrian","416-769-5625","","Waste Treatment & Disposal","28"
"163","AEP Canada Inc","595 Coronation Drive","","M1E 2K4","Yankana","Raymond","416-281-6000","249","Plastic Film and Sheet Manufacturing","71"
"22866","AFP Industries","2500 Lawrence Ave E","6","M1P 2R7","Mitchell","Deborah","416-759-4212","22","Other Metalworking Machinery Mfg.","12"
"24249","AG Simpson Automotive Inc Scarborough Plant","675 Progress Avenue","","M1H 2W9","Pestowka","Maurice","519-624-7910","","Motor Vehicle Metal Stamping","45"
"22136","AH Printing Inc","585 Middlefield Road","24","M1V 4Y5","Zhang","Hao","416-754-3754","","Quick Printing","2"
"25333","AH Printing Inc","585 Middlefield Road","24","M1V 4Y5","Zhang","Howard","416-754-3754","","Digital Printing","3"
"23976","AL Plastics","6821 Steeles Ave West","","M9V 4R9","Marion","Stephanie","416-744-9222","","All Other Plastic Product Mfg.","1"
"25260","ALEXANDRA DRY CLEANERS","2716 Yonge St","","M4N 2H9","Kee","Esther","416-909-1210","","Coin-Operated Laundries & Dry Cleaners","1"
"25312","ALL HOUR SIGNS INC","100 NUGGET AVE","1","M1S 3A7","PIERCEY","RALPH","416-916-4441","","Digital Printing","4"
"25293","ALVARADO DENTURE CLINIC","658 Pharmacy Avenue","","M1L 3H5","Alvarado","Alfredo","416-694-5449","","Offices of All Other Health Practitioners","2"
"22464","ALine Precision Tool Ltd","51 McCormack Street","","M6N 1X8","Chudzicki","Greg","416-769-4557","102","Machine Shops","30"
"22615","AM Dry Cleaners and Alterations","790A  O'Connor Drive","","M4B 2S6","Lin","Lucy","416-285-0174","","Dry Cleaning & Laundry Serv. (exc. Coin-Op.)","3"
"21930","AMK Emission Check Inc","1545 Warden Ave","B","M1R 2S9","Sakaguchi","Ken","416-335-8378","","All Other Automotive R&M","13"
"21987","AML Auto Service","126 Laird Drive","","M4G 3V3","French","Art","416-423-6209","","General Automotive Repair","7"
"25212","ANN Service","101 Toro Road","44","M3J 2Z1","Juhasz","Lajos","416-398-5333","","General Automotive Repair","1"
"24519","ANN Service","101 Toro Rd","44","M3J 2Z1","JUHASZ","LAJOS","416-398-5333","","General Automotive Repair","1"
"24463","ANU Machine Tools","445 Midwest Rd","19","M1P 4Y9","Muthu","Uthay","416-916-7336","","Machine Shops","2"
"22536","APCO Industries Co Limited","10 Industrial Street","","M4G 1Z1","Grierson","David","416-421-6161","114","Chemical (exc. Agr.) & Allied Product Whl.","16"
"24031","ASB Heating Elements Ltd","20 Bethridge Rd","","M9W 1N1","Ballem","Steve","416-743-9977","303","All Other Electrical Equip. & Component Mfg.","31"
"24711","AST Stone","587 Tretheway Drive","","M6M 4B8","Grodzki","Chris","416-833-7647","","All Other Non-Metallic Mineral Product Mfg.","16"
"24854","ASharp Sign Shop","1140 The Queensway","","M8Z 1P7","Ho","James","416-255-3945","","Digital Printing","2"
"24274","AT Designs","70 Production Drive","","M1H 2X8","Kehlbreier","Edward","416-289-0509","12","Jewellery & Silverware Mfg.","55"
"24018","ATS Retail Solutions","96 Disco Road","","M9W 0A3","Lelli","Maurizio","416-679-7979","","General Trucking, Long Distance, Truck-Load","150"
