"Lake Partner Program Calcium (Ca) Concentration Data, 2008-2016",,,,,,,,
,,,,,Latitude,Longitude,,Ca
Lake Name,Township,STN,Site ID,Site Description,(DMS),(DMS),Date,(mg/L)
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,11-May-08,5.7
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,29-Oct-08,4.9
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,12-May-09,5.7
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,19-May-10,5.8
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,25-Jun-10,5.6
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,02-Jun-11,5.1
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,01-Jul-11,5.6
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,29-Jul-11,5.5
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,05-Sep-11,5.2
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,19-Sep-11,5.5
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,17-Oct-11,5.1
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,23-May-12,6.0
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,23-Jun-12,6.3
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,17-Jul-12,5.5
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,24-Aug-12,6.4
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,20-May-13,4.9
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,20-Jun-13,4.9
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,19-May-14,5.7
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,22-Jul-14,5.6
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,29-May-15,5.5
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,21-May-16,5.4
ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,19-Jul-16,5.6
ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450500,793800,02-May-15,5.3
ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450500,793800,22-May-16,5.1
ADAM'S LAKE,"BATHURST, BURGESS, SHERBROOKE",6931,1,"Mid Lake, deep spot",444840,761255,18-Sep-08,32.9
ADAM'S LAKE,"BATHURST, BURGESS, SHERBROOKE",6931,1,"Mid Lake, deep spot",444840,761255,19-May-10,33.2
ADAM'S LAKE,"BATHURST, BURGESS, SHERBROOKE",6931,1,"Mid Lake, deep spot",444840,761255,22-May-11,31.5
ADAM'S LAKE,"BATHURST, BURGESS, SHERBROOKE",6931,1,"Mid Lake, deep spot",444840,761255,28-May-12,32.6
ADAM'S LAKE,"BATHURST, BURGESS, SHERBROOKE",6931,1,"Mid Lake, deep spot",444840,761255,30-May-13,32.9
ADAM'S LAKE,"BATHURST, BURGESS, SHERBROOKE",6931,1,"Mid Lake, deep spot",444840,761255,07-May-15,33.5
ADAM'S LAKE,"BATHURST, BURGESS, SHERBROOKE",6931,1,"Mid Lake, deep spot",444840,761255,11-May-16,33.8
AEROBUS LAKE,UNORGANIZED,25,2,"South Basin, Deep Spot- Aer-S",501826,932503,28-May-13,2.0
AGNEW LAKE,BALDWIN,6051,3,Belle (Bell's) Bay,462235,813949,31-May-14,3.6
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,25-May-08,2.7
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,29-Oct-08,2.6
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,16-May-09,2.3
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,22-May-10,3.3
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,06-Jul-10,2.9
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,28-May-11,2.8
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,30-Jun-11,2.8
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,28-Jul-11,3.0
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,17-Aug-11,2.9
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,12-Sep-11,2.8
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,04-Oct-11,3.0
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,21-May-12,3.0
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,23-Jun-12,3.0
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,18-Jul-12,3.3
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,29-Aug-12,3.3
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,20-May-13,2.6
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,15-Jun-13,2.5
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,12-Jul-13,2.8
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,13-Jun-14,2.9
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,18-Jul-14,3.2
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,01-Jun-15,2.7
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,03-Jul-15,3.0
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,20-May-16,2.5
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,17-Jun-16,2.7
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,17-Jun-16,2.7
AHMIC LAKE,CROFT,32,1,Pickerel Pt.,453750,793905,17-Jul-16,3.1
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,25-May-08,2.6
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,29-Oct-08,2.6
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,16-May-09,2.2
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,22-May-10,2.9
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,06-Jul-10,2.6
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,28-May-11,2.7
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,30-Jun-11,2.7
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,28-Jul-11,2.9
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,17-Aug-11,2.8
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,12-Sep-11,2.7
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,06-Oct-11,2.9
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,21-May-12,2.9
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,23-Jun-12,2.8
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,18-Jul-12,3.1
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,29-Aug-12,20.4
AHMIC LAKE,CROFT,32,2,Rocky Reef Pt.,453908,794324,20-May-13,2.3
