Sample Number,Sampled Date,Partial Postal Code,Lead Amount ppb
1124397,04-Jan-11,M8X,9.00
1124400,04-Jan-11,M8Z,0.700
1124602,03-Jan-11,M4L,<0.500
1124604,05-Jan-11,M4J,<0.500
1124605,06-Jan-11,M1K,<0.500
1125668,08-Jan-11,M5S,78.0
1125684,07-Jan-11,M5M,0.900
1125685,07-Jan-11,M5M,8.00
1125686,07-Jan-11,M4S,7.00
1126165,05-Jan-11,M6A,0.500
1126976,14-Jan-11,M6K,2.00
1127175,10-Jan-11,M4J,4.00
1127196,10-Jan-11,M8X,0.900
1127197,17-Jan-11,M6P,0.900
1127198,06-Jan-11,M4K,2.00
1127199,06-Jan-11,M4K,4.00
1127208,07-Jan-11,M5S,0.800
1127223,06-Jan-11,M6P,3.00
1127228,06-Jan-11,M4E,2.00
1127264,06-Jan-11,M4M,1.00
1127280,03-Jan-11,M6J,0.800
1128485,14-Jan-11,M6P,12.0
1128506,18-Jan-11,M6R,<0.500
1128508,13-Jan-11,M6J,13.0
1128528,18-Jan-11,M6P,5.00
1128529,12-Jan-11,M6H,<0.500
1128530,13-Jan-11,M8Y,<0.500
1129282,17-Jan-11,M4J,<0.500
1129292,18-Jan-11,M4J,<0.500
1129293,17-Jan-11,M4M,<0.500
1129295,17-Jan-11,M4M,1060
1129338,18-Jan-11,M1K,0.600
1129339,17-Jan-11,M4L,22.0
1129377,11-Jan-11,M4J,6.00
1129378,18-Jan-11,M4C,4.00
1129379,17-Jan-11,M4K,3.00
1129380,21-Jan-11,M1N,<0.500
1129406,19-Jan-11,M4K,5.00
1129415,05-Jan-11,M5R,<0.500
1129427,05-Jan-11,M6C,<0.500
1129431,11-Jan-11,M4K,9.00
1129432,10-Jan-11,M6K,2040
1129439,06-Jan-11,M4N,2.00
1129440,11-Jan-11,M5A,10.0
1129452,04-Jan-11,M5A,1.00
1129453,06-Jan-11,M6S,34.0
1129464,19-Jan-11,M5N,<0.500
1129465,13-Jan-11,M5M,1.00
1129466,13-Jan-11,M4L,<0.500
1129467,04-Jan-11,M4K,9.00
1129561,06-Jan-11,M6C,<0.500
1129562,18-Jan-11,M4S,3.00
1129563,11-Jan-11,M4R,6.00
1129564,06-Jan-11,M6G,<0.500
1129565,06-Jan-11,M4X,3.00
1130344,07-Jan-11,M5G,4.00
1131040,11-Jan-11,M1R,<0.500
1132240,24-Jan-11,M6G,1.00
1132244,21-Jan-11,M8W,<0.500
1132245,20-Jan-11,M6R,2.00
1132246,24-Jan-11,M6H,1.00
1132249,24-Jan-11,M6N,6.00
1132250,24-Jan-11,M6H,2.00
1132534,20-Jan-11,M4K,2.00
1132540,31-Jan-11,M4L,2.00
1132543,20-Jan-11,M4J,0.800
1132544,20-Jan-11,M4T,0.800
1132554,20-Jan-11,M4T,<0.500
1132564,23-Jan-11,M4J,10.0
1132578,21-Jan-11,M4L,10.0
1132585,21-Jan-11,M4C,4.00
1132586,24-Jan-11,M4B,5.00
1132587,24-Jan-11,M4L,6.00
1132588,24-Jan-11,M4L,10.0
1132589,24-Jan-11,M5S,14.0
1132590,25-Jan-11,M4M,3.00
1132596,25-Jan-11,M4C,4.00
1132601,25-Jan-11,M4C,2.00
1132605,25-Jan-11,M4E,3.00
1132611,25-Jan-11,M4L,3.00
1132615,27-Jan-11,M6H,27.0
1132618,27-Jan-11,M2N,2.00
1132619,27-Jan-11,M4K,3.00
1132620,26-Jan-11,M4S,1.00
1132621,26-Jan-11,M6H,15.0
1132622,26-Jan-11,M5M,3.00
1132623,28-Jan-11,M6J,1.00
1132627,31-Jan-11,M5A,<0.500
1132631,30-Jan-11,M4P,<0.500
1134736,24-Jan-11,M4M,81.0
