"Sample Number","Sampled Date","Partial Postal Code","Lead Amount ppb"
1690402,31-DEC-14,M6H,"1.51"
1691248,31-DEC-14,M5N,"<0.0500"
1694355,30-DEC-14,M9A,"<0.0500"
1690423,30-DEC-14,M1L,"<0.0500"
1690474,30-DEC-14,M4J,"0.623"
1691251,30-DEC-14,M4C,"0.574"
1689417,30-DEC-14,M4S,"2.89"
1691250,30-DEC-14,M4G,"0.889"
1690348,30-DEC-14,M6S,"0.475"
1693950,30-DEC-14,M5S,"0.0913"
1693949,30-DEC-14,M4G,"0.0867"
1691249,29-DEC-14,M5P,"<0.0500"
1690442,29-DEC-14,M4C,"0.0911"
1690467,29-DEC-14,M6G,"0.177"
1691254,29-DEC-14,M5M,"12.8"
1689449,29-DEC-14,M4T,"0.0596"
1689420,29-DEC-14,M5A,"12.8"
1690515,29-DEC-14,M4J,"0.288"
1691252,24-DEC-14,M2N,"0.0960"
1689416,23-DEC-14,M5T,"0.342"
1689448,23-DEC-14,M6H,"0.811"
1694358,23-DEC-14,M1P,"0.121"
1689419,22-DEC-14,M4M,"0.836"
1689422,22-DEC-14,M6J,"0.0521"
1689421,22-DEC-14,M4L,"0.207"
1690528,20-DEC-14,M4C,"0.192"
1686545,19-DEC-14,M6H,"<0.0500"
1689418,19-DEC-14,M9A,"<0.0500"
1690347,19-DEC-14,M6J,"8.01"
1691266,18-DEC-14,M6C,"3.06"
1689450,18-DEC-14,M9B,"0.377"
1690473,18-DEC-14,M6S,"1.07"
1690329,18-DEC-14,M6R,"<0.0500"
1690472,17-DEC-14,M4G,"0.226"
1687916,17-DEC-14,M4M,"2.46"
1686532,17-DEC-14,M6H,"1.16"
1685678,16-DEC-14,M1L,"<0.0500"
1686646,16-DEC-14,M4J,"0.120"
1685609,16-DEC-14,M9C,"2.59"
1685701,16-DEC-14,M3M,"0.0582"
1686656,16-DEC-14,M2N,"<0.0500"
1686547,15-DEC-14,M2R,"0.153"
1686612,15-DEC-14,M6S,"1.47"
1686645,15-DEC-14,M4K,"0.0545"
1685702,15-DEC-14,M4R,"0.247"
1686614,15-DEC-14,M4C,"0.221"
1685661,15-DEC-14,M9P,"<0.0500"
1686524,14-DEC-14,M6P,"<0.0500"
1686630,14-DEC-14,M4E,"<0.0500"
1686642,13-DEC-14,M3H,"0.136"
1685667,13-DEC-14,M5J,"0.922"
1685640,12-DEC-14,M6S,"2.57"
1685704,12-DEC-14,M8Y,"8.11"
1686658,11-DEC-14,M4C,"0.254"
1682846,11-DEC-14,M9N,"0.0602"
1686613,11-DEC-14,M4C,"<0.0500"
1691247,10-DEC-14,M3M,"0.446"
1685639,10-DEC-14,M9A,"<0.0500"
1685668,10-DEC-14,M8V,"0.0589"
1686534,10-DEC-14,M4N,"<0.0500"
1686615,10-DEC-14,M6N,"0.193"
1685703,10-DEC-14,M8Y,"0.0617"
1686531,09-DEC-14,M5P,"0.923"
1682922,09-DEC-14,M4E,"3.47"
1685641,09-DEC-14,M4L,"1.75"
1682915,08-DEC-14,M6P,"1.10"
1682277,08-DEC-14,M1R,"<0.0500"
1682275,08-DEC-14,M2L,"0.0707"
1682786,08-DEC-14,M6S,"2.52"
1682230,08-DEC-14,M4P,"0.254"
1682292,08-DEC-14,M4N,"0.0760"
1682266,08-DEC-14,M4P,"0.703"
1682822,07-DEC-14,M9N,"0.0565"
1682278,07-DEC-14,M5M,"0.0757"
1682291,07-DEC-14,M4J,"1.82"
1682928,07-DEC-14,M9N,"<0.0500"
1682821,06-DEC-14,M6P,"5.17"
1682796,05-DEC-14,M6P,"0.999"
1682819,04-DEC-14,M8X,"<0.0500"
1682929,04-DEC-14,M8Y,"<0.0500"
1682923,04-DEC-14,M9A,"<0.0500"
1682930,04-DEC-14,M8Y,"0.174"
1682925,04-DEC-14,M5S,"0.0798"
1682785,03-DEC-14,M1N,"0.0729"
1682812,03-DEC-14,M6H,"<0.0500"
1682787,03-DEC-14,M1K,"<0.0500"
1682926,03-DEC-14,M5R,"<0.0500"
1679657,03-DEC-14,M5M,"2.85"
1682195,03-DEC-14,M6C,"2.07"
1682813,03-DEC-14,M6S,"0.167"
1682927,03-DEC-14,M9M,"1.54"
1682771,03-DEC-14,M9C,"0.445"
1680840,02-DEC-14,M9P,"0.0758"
1682332,02-DEC-14,M6G,"0.836"
1682222,02-DEC-14,M6G,"<0.0500"
1680758,02-DEC-14,M3B,"<0.0500"
1682355,02-DEC-14,M6G,"1.76"
1679614,02-DEC-14,M6E,"3.81"
1679603,01-DEC-14,M4G,"<0.0500"
1679619,01-DEC-14,M8Y,"3.75"
1680763,01-DEC-14,M4L,"6.33"
1679515,01-DEC-14,M4P,"0.386"
1679642,01-DEC-14,M5M,"0.0618"
1678177,29-NOV-14,M6H,"0.748"
1679620,28-NOV-14,M4P,"1.35"
1680643,28-NOV-14,M6E,"0.796"
1679616,28-NOV-14,M6J,"0.471"
1679592,28-NOV-14,M3H,"0.275"
1679615,28-NOV-14,M6P,"3.45"
1680801,28-NOV-14,M6P,"0.0810"
1680817,28-NOV-14,M4L,"0.827"
1680845,28-NOV-14,M4C,"1.26"
1679617,27-NOV-14,M6N,"0.257"
1680642,26-NOV-14,M6P,"0.222"
1677584,26-NOV-14,M4C,"1.98"
1677592,26-NOV-14,M4M,"<0.0500"
1679621,26-NOV-14,M5M,"<0.0500"
1677583,26-NOV-14,M4K,"1.85"
1679641,26-NOV-14,M6R,"0.0782"
1677585,25-NOV-14,M4J,"0.0553"
1679630,25-NOV-14,M6J,"2.37"
